Review
"semenjak twit ganti jdi x malah bugnya malah nambah, pas mau liat"" gambar, gambar nya selalu gak muncul dan itu harus bolak balik ngehapus cache baru bisa ada gambarnya itupun setengah. Tolong perbaiki lagi (soalnya bikin stress 馃榾) EDIT: tolong perbaiki bug gambar tiba tiba hilang soalnya ngeselin, terus bug GK bisa nyimpen gambar ITU NGUESELINNN BANGET PLISS 馃槶"
"setiap mencet notifikasi dari X notifikasinya kosong dan gak ada apa-apa pas di cek di aplikasinya malah notifikasinya ilang. Ohh yaa, tambahin juga fitur buat liat notifikasi sebelumnya kayak di YouTube soalnya itu berguna banget 馃憤 Notifikasinya kebanyakan belum juga sempet baca udah ilang gitu aja 馃檮 apalagi kalo ada berita, drama, gorengan atau dongeng sebelum tidur yang sayang banget buat dilewatin!"
"tadinya pakai x lumayan enak meskipun sering bgt log out sendiri ,tbtb terkunci eeeh kemarin koq ngga bisa dibuka karena ""kesalahan teknis"" pdhl wifi signal kuat ,misal pakai data jg lancar tapi knp jadi kyk gini ..ga bisa masuk sama sekali ..gimana nih"
"semenjak jadi X malah lemot, minta update sering tapi aplikasi ga membaik. sering refresh sendiri dan yg paling parah pas dibuka mau scroll2 ga bisa karna masih loading seperi tidak ada jaringan padahal jaringan bagus. Tolong perbaiki lagi!"
"Banyak bug, jadi lemot (foto atau video sering nggak muncul/nggak keputer) padahal wifi lancar. Ganti kuota juga lancar pdhl. Sering ke refresh sendiri padahal lagi asik baca timeline. Intinya udah nggak kaya dulu dah"
"Saya baru instal lagi x ini, mau login eh ""memuat"" udh ditunggu beberapa menit malah ""ada kesalahan teknis"" terus! Padahal koneksi lancar pakai wifi juga tetep aja ""ada kesalahan teknis"". Gimana mau main aplikasinya, login aja gabisa."
"apk X ini bagusss bangetttt, Taapiiii, ada tapinya, kenapa saya sudah posting ulang vid atau gambar malah Nge-Bug (ketika membuka profil tidak ada) juga Apk nya sering keluar sendiri, itu aja sih, maaf kalau saya beri 3 bintang dulu馃"
"Untuk pihak X, mohon tambahkan fitur ""juga bisa mematikan kolom quote post atau kutipan postingan pengguna/tidak hanya mematikan kolom komen. Ukuran teks diperkecil lagi, tema X dari versi mobile juga diterapkan di versi aplikasi"
"setelah di upgrade malahan kesalahan teknis terus katanya, kayak apa cara pakai aplikasinya kalo mau login aja Ndak bisa.. lebih baik yang versi terdahulu daripada yang versi ""X""...."
"Pihak ""X"" tolong ini bug atau emang gitu, di perbaiki Padahal dulu bisa lihat semua postingan sampe habis, tapi kenapa sekarang gak bisa lihat postingan foto sampai habis, mohon di perbaiki馃檹 Dan juga sering refres ngulang dari awal pas lihat-lihat postingan Mohon di perbaiki jika itu memang bug馃檹"
"Aku coba dulu tapi bukan sekarang aku kasih 1 鈽� dulu, tujuanku sebenarnya daftar twitter ingin pelajari versi kekinian dari meta ai buat dapatkan penghasilan ternyata banyak sekali kendala belum ini belum yang itu astaga semoga aku bisa tolong dev perbaiki bug semoga dipermudah sebelum percobaan dalam jangka waktu sangat panjang. 馃槙馃槖"
"buruk banget sekarang, aku baru aja buka belum ada semenit tiba tiba logout sendiri aja.. pas udh coba login pake captcha muncul notif kesalahan teknis dan sampai sekarang belum bisa login kembali tolong dong pihak X gimana ini solusi nya..."
"Jujur sepengalam saya pakai aplikasi ini agak kecewa dengan beberapa hal, saya telah menemukan konten yang saya cari馃構, dan udah dapat ehh pas lagi mau nyimpan malah server atau apalah ngelag dan disuruh login ulang jujur saya kecewa padahal jika tidak karena beberapa hal itu kemungkinan besar saya kasih bintang 5 karena cukup lancar dan gak ada masalah bagi penyimpanan tapi masalahnya ada di login akun kenapa terus ngulang walaupun akun kembali lagi tapi tetap bikin kesel馃椏"
"Menurut saya, setelah saya download lagi aplikasinya setelah satu tahun ngga pake ini kok tambah lemot ya? katanya ada kendala di jaringan saya padahal wifi-nya lancar jaya. Mohon diperbaiki lagi ya developer, jangan menguji kesabaran dan keimanan saya di bulan ramadhan ini. Sekian semoga saran saya bermanfaat. Terima kasih 馃敟馃敟馃敟"
"jujur ngeselin banget sekarang apk nya. masaan setiap saya mau liat akun yg saya ikuti/follow, ga bisa dibuka. katanya ada kesalahan teknis, saya coba buka notifikasi juga ga bisa. puncak nya pas saya coba pencarian, dia tetap tidak bisa katanya ada kesalahan teknis dan pencarian yg saya cari tidak muncul. saya kira mah tadi karena harus di update dulu yekan karena udh lama banget mungkin ga saya update, cmn ini tadi barusan saya update dan saya buka tetap saja tidak bisa, masih sama."
"sering nge lag ga jls, update trs tpi msh kek gtu aja ga berubah-rubah! bukannya tambah ada kemajuan, malah stuck disitu aja gegara kgaka bisa login pdhl sinyal+paketan ada full."
"ini kenapa aplikasi lama虏 smakin buruk ya,sering update bukan mya smakin bagus,sering banget tiba虏 log out sendiri lah,anda tidak diijinkan melihat postingan lah,ada upaya mencurigakan masuk ke aplikasi lah,pdhl yg masuk yg punya dan pake sandi yg sama,verifikasi ada ksalahan tekhnis mulu padahal langkah2 sudah ikuti petunjuk,tolong lah di perbaiki"
"gjls bgt orng mau liat video kaga bisa, soalnya ada kata ""masalah pemutaran pas di pencet 3 titik diatas ada kata unduh video pas di pencet malah disuruh download x premium"
kok apk ini makin ke sini makin sampah sih? 1. Bug pas Scrroling tiba虏 layar jadi hitam terus kembali ke beranda secara otomatis 2.setiap masuk X hp jadi agak lemot 3.bug suara ngk ilang虏 padahal video udah berhenti Perbaiki lah tod
"Sementara bintang satu dulu, karena saat baru buka aplikasi X, update timeline sangat lambat dan lama pulihnya sampai berjam-jam. Saya coba perbarui aplikasinya, semoga ada perubahan."
"tolong ya Twitter,kembalikan Twitter yg dulu,sekarang susah untuk login,padahal udah bener code nya kok gak bisa sih,aku coba ulang Masi gak bisa,tolong ya Twitter,aku harap update kamu bisa memperbaiki error atau bug nya, soalnya ini udah terverifikasi code nya tetep gak bisa,tolong yah perbaiki biar gak ada bug lagi 馃檹馃檹馃槩馃槩"
kenapa sih selalu video play nya eror. Keluar aplikasi tapi masih kesetel aja itu videonya. atau lagi liat thread lain tapi suara video sebelumnya masih nyala. login pun sekarang susah khususnya yang menggunakan akun google
"apasi gjls, mau daftar aja mesti ada tulisan "" ada kesalahan teknis "" terus akun email ku udah dipake orang lain, kek WHATTT?! mana bisa gitu fuki, bolak balik uninstall terus install lagi cuman pengen mastiin kira' itu hpku yg salah atau EMANG APLIKASINYA YANG馃憥馃徎馃憥馃徎馃憥馃徎馃憥馃徎馃憥馃徎馃憥馃徎"
"kurang memuaskan, sering log out dari akun sendiri dan akun sering terkuncii sendiri, loading nya lama untuk memuat pencarian, dan juga banyak sekali pembaruan yang terjadi"
"gaenak apk nya, tiap liat Vidio yang pemutarannya otomatis, kadang loading/macet/stuk muter2. padahal jaringan ga ada masalah"
"awalnya x lumayan enak, tapi lama kelamaan kok trs2 an ke log out sendiri, kalau ga akun nya ga bisa kebuka, tiba2 disuruh log in lagi. lama2 juga capek, mana ak sering kelupaan sandi jdi ga enak"
"malah gak jalan sm skali kirain ngebug, abis install ulang malah makin jadi ngecrash ny gak bisa dibuka sm skali. nyoba di hp lain, di os lain sm aja"
